Name,Code,Type,DrainageArea,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD,City_norm
ESTRADA MT-125,66065000,1,3620.0,66,CÁCERES,MATO GROSSO,ANA,-15.4686,-57.8936,1969/08/16,2019/06/30,51,15.1,41,19.6,CACERES
CÁCERES (DNPVN),66070004,1,32400.0,66,CÁCERES,MATO GROSSO,ANA,-16.0761,-57.7022,1965/12/13,2019/06/30,55,0.0,53,3.6,CACERES
FAZENDA SALU,66071300,1,2190.0,66,CÁCERES,MATO GROSSO,PRIMAVERA,-15.1839,-58.7281,1984/02/01,1994/12/31,11,44.4,3,72.7,CACERES
BAIA GRANDE,66076000,1,8910.0,66,CÁCERES,MATO GROSSO,ANA,-15.9,-58.3667,1966/01/13,1988/10/31,23,0.4,17,26.1,CACERES
DESCALVADOS,66090000,1,47100.0,66,CÁCERES,MATO GROSSO,ANA,-16.7328,-57.7489,1967/12/21,2019/06/30,53,13.9,39,26.4,CACERES
PERTO DE POCONÉ,66110000,1,2910.0,66,POCONÉ,MATO GROSSO,ANA,-16.315,-56.5422,1969/10/25,2016/02/21,48,11.9,32,33.3,POCONE
PORTO CONCEIÇÃO,66120000,1,64000.0,66,CÁCERES,MATO GROSSO,ANA,-17.1433,-57.3594,1967/12/18,2019/09/30,53,18.8,35,34.0,CACERES
PERTO DE BELA VISTA DO NORTE,66126000,1,2270.0,66,CORUMBÁ,MATO GROSSO DO SUL,DNOS,-17.5181,-57.7906,1968/10/10,1972/12/31,5,0.0,4,20.0,CORUMBA
BARÃO DE MELGAÇO,66280000,1,28900.0,66,BARÃO DE MELGAÇO,MATO GROSSO,ANA,-16.1928,-55.9669,1966/12/02,2019/06/30,54,4.9,46,14.8,BARAO DE MELGACO
PORTO CERCADO (Ex-Retiro Biguaçal),66340000,1,36900.0,66,POCONÉ,MATO GROSSO,ANA,-16.5119,-56.3756,1969/11/24,2019/07/31,51,7.3,41,19.6,POCONE
SÃO ROQUE,66350000,1,37000.0,66,BARÃO DE MELGAÇO,MATO GROSSO,ANA,-16.6333,-56.4667,1967/11/29,1984/09/30,18,0.0,16,11.1,BARAO DE MELGACO
SÃO JOÃO,66360000,1,38500.0,66,POCONÉ,MATO GROSSO,ANA,-16.9444,-56.6328,1970/05/02,2019/07/31,50,10.5,40,20.0,POCONE
ILHA CAMARGO,66370000,1,39000.0,66,BARÃO DE MELGAÇO,MATO GROSSO,ANA,-17.0564,-56.5806,1968/02/17,2019/07/31,52,4.5,44,15.4,BARAO DE MELGACO
COLÔNIA SANTA IZABEL,66465000,1,23900.0,66,BARÃO DE MELGAÇO,MATO GROSSO,ANA,-16.6897,-55.9958,1971/09/04,1981/03/31,11,0.0,9,18.2,BARAO DE MELGACO
