Name,Code,Type,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD,City_norm
GOIABEIRA,01557002,2,66,CÁCERES,MATO GROSSO,DNOS,-15.7333,-57.5333,1968/10/24,1969/08/12,2,1.0,0,100.0,CACERES
SÃO JOSÉ DO SEPOTUBA,01557004,2,66,CÁCERES,MATO GROSSO,ANA,-15.1167,-57.65,1969/08/21,1989/10/31,21,35.8,10,52.4,CACERES
SALTO DAS NUVENS,01558002,2,66,CÁCERES,MATO GROSSO,DNOS,-15.3167,-58.1167,1968/08/27,1970/12/31,3,14.2,1,66.7,CACERES
JUSANTE DO SALTO,01559005,2,66,CÁCERES,MATO GROSSO,DNIT,-15.7667,-59.1167,1965/12/10,1969/05/12,5,8.3,0,100.0,CACERES
BAIA NOVA,01655000,2,66,BARÃO DE MELGAÇO,MATO GROSSO,ANA,-16.3561,-55.5864,1968/11/06,2019/09/30,52,18.4,25,51.9,BARAO DE MELGACO
BARÃO DE MELGAÇO,01655002,2,66,BARÃO DE MELGAÇO,MATO GROSSO,ANA,-16.1936,-55.9453,1968/07/25,2019/09/30,52,1.8,45,13.5,BARAO DE MELGACO
SANTA LÚCIA,01655004,2,66,BARÃO DE MELGAÇO,MATO GROSSO,ANA,-16.8939,-55.9072,1969/01/01,2019/02/28,51,13.6,33,35.3,BARAO DE MELGACO
COLÔNIA SANTA ISABEL,01656000,2,66,BARÃO DE MELGAÇO,MATO GROSSO,ANA,-16.6667,-56.0333,1971/09/05,1980/09/30,10,0.5,7,30.0,BARAO DE MELGACO
PORTO CERCADO (Ex-Retiro Biguaçal),01656001,2,66,POCONÉ,MATO GROSSO,ANA,-16.5119,-56.3756,1968/10/27,2019/10/31,52,16.0,26,50.0,POCONE
POCONÉ,01656002,2,66,POCONÉ,MATO GROSSO,ANA,-16.3147,-56.5436,1968/07/24,2019/07/31,52,9.9,37,28.8,POCONE
SÃO JOSÉ DO BORIRÉU,01656003,2,66,BARÃO DE MELGAÇO,MATO GROSSO,ANA,-16.9211,-56.2236,1970/01/17,2019/10/31,50,22.0,21,58.0,BARAO DE MELGACO
SÃO JOÃO,01656004,2,66,POCONÉ,MATO GROSSO,ANA,-16.9442,-56.6319,1970/05/01,2019/10/31,50,3.4,31,38.0,POCONE
CÁCERES,01657000,2,66,CÁCERES,MATO GROSSO,INMET,-16.05,-57.6833,1912/05/16,1999/10/31,88,29.9,47,46.6,CACERES
SARARE,01657001,2,66,POCONÉ,MATO GROSSO,ANA,-16.8,-57.0167,1970/11/12,1987/12/31,18,16.2,6,66.7,POCONE
DESCALVADOS,01657002,2,66,CÁCERES,MATO GROSSO,ANA,-16.7336,-57.7503,1968/01/01,2019/09/30,52,36.6,20,61.5,CACERES
CÁCERES (DNPVN),01657003,2,66,CÁCERES,MATO GROSSO,ANA,-16.0817,-57.6942,1972/01/01,2019/09/30,48,33.7,23,52.1,CACERES
FLECHAS,01657004,2,66,CÁCERES,MATO GROSSO,ANA,-16.0392,-57.2575,1968/11/01,2019/09/30,52,17.3,29,44.2,CACERES
CONCEIÇÃO,01657005,2,66,POCONÉ,MATO GROSSO,DNOS,-16.55,-57.0167,1969/12/04,1970/11/12,2,18.9,0,100.0,POCONE
BARRANCO VERMELHO,01657006,2,66,CÁCERES,MATO GROSSO,ANA,-16.5292,-57.8172,1997/05/23,1999/05/19,3,49.4,0,100.0,CACERES
DESTACAMENTO DA CORIXA,01658000,2,66,CÁCERES,MATO GROSSO,ANA,-16.3944,-58.3389,1968/08/15,2019/09/30,52,23.9,27,48.1,CACERES
ORION,01658001,2,66,CÁCERES,MATO GROSSO,ANA,-16.9833,-58.3333,1968/10/04,1982/12/31,15,29.4,4,73.3,CACERES
ITIQUIRA,01754000,2,66,ITIQUIRA,MATO GROSSO,ANA,-17.2078,-54.14,1965/11/22,2019/11/30,55,0.2,49,10.9,ITIQUIRA
PIQUIRI,01754001,2,66,ITIQUIRA,MATO GROSSO,ANA,-17.75,-54.3333,1974/11/24,1979/12/31,6,14.0,4,33.3,ITIQUIRA
POSTO CORRENTES (MT-163),01754002,2,66,SONORA,MATO GROSSO DO SUL,ANA,-17.5869,-54.7567,1969/08/14,2019/09/30,51,35.5,22,56.9,SONORA
ACAMPAMENTO ITIQUIRA,01754003,2,66,ITIQUIRA,MATO GROSSO,ANA,-17.0833,-54.7833,1970/09/01,1983/12/31,14,9.5,5,64.3,ITIQUIRA
SANTO ANTÔNIO DO PARAÍSO,01755000,2,66,ITIQUIRA,MATO GROSSO,ANA,-17.4917,-55.2322,1969/03/02,2018/03/31,50,22.1,31,38.0,ITIQUIRA
UNIÃO,01755001,2,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-17.7903,-55.7736,1968/06/08,2017/12/28,50,25.8,18,64.0,CORUMBA
FORMOSA,01755002,2,66,LADÁRIO,MATO GROSSO DO SUL,ANA,-17.0,-55.2,1968/11/07,1982/05/31,15,44.2,2,86.7,LADARIO
SÃO JERÔNIMO,01755003,2,66,BARÃO DE MELGAÇO,MATO GROSSO,ANA,-17.2017,-56.0086,1971/08/20,2019/10/31,49,23.2,22,55.1,BARAO DE MELGACO
SÃO JERÔNIMO,01755004,2,66,AQUIDAUANA,MATO GROSSO DO SUL,ANA,-17.1667,-55.9833,1963/10/18,1989/07/31,27,2.5,19,29.6,AQUIDAUANA
SANTA TEREZA,01755005,2,66,AQUIDAUANA,MATO GROSSO DO SUL,ANA,-17.0,-55.0,1982/09/28,1983/12/31,2,7.0,1,50.0,AQUIDAUANA
ILHA CAMARGO,01756000,2,66,BARÃO DE MELGAÇO,MATO GROSSO,ANA,-17.0572,-56.5856,1968/02/02,2019/10/31,52,4.8,43,17.3,BARAO DE MELGACO
SÃO JOSÉ DO PIQUIRI,01756001,2,66,BARÃO DE MELGAÇO,MATO GROSSO,ANA,-17.2914,-56.3847,1969/03/25,2019/10/31,51,21.2,13,74.5,BARAO DE MELGACO
