Nome inventário,Nome padronizado,Código
BARÃO DE MELGAÇO,BARÃO DE MELGAÇO,1655000
CÁCERES,CÁCERES,1557002
NÃO ENCONTRADO,LAMBARI D’OESTE,-
POCONÉ,POCONÉ,1656001
NÃO ENCONTRADO,NOSSA SENHORA DO LIVRAMENTO,-
NÃO ENCONTRADO,SANTO ANTÔNIO DO LEVERGER,-
ITIQUIRA,ITIQUIRA,1754000
CORUMBÁ,CORUMBÁ,1755001
LADÁRIO,LADÁRIO,1755002
AQUIDAUANA,AQUIDAUANA,1755004
MIRANDA,MIRANDA,1956005
NÃO ENCONTRADO,BODOQUENA,-
PORTO MURTINHO,PORTO MURTINHO,2056007
LADÁRIO,RIO VERDE DE MATO GROSSO,1755002
SONORA,SONORA,1754002
COXIM,COXIM,1853002
